[0] dist. T,col0071703_mean,col0071703_var,col0071703_min,col0071703_max
[0] dist. T,0.04097621428571428,0.0004393619897577318,0.024827,0.149552
[1] dist. T,0.07242208,0.0009516264796096972,0.045074,0.275453
[2] dist. T,0.060785101010101004,0.000338339839254999,0.036845,0.183019
[3] dist. T,0.06825718,0.003794736037603636,0.044009,0.636717
[4] dist. T,0.061795519480519485,0.0003528317709107998,0.038435,0.146871
[5] dist. T,0.07064702631578948,0.002627035812134424,0.039794,0.358684
[6] dist. T,0.07401047826086957,0.001428143709533597,0.045252,0.183594
[7] dist. T,0.075416125,0.002701371789839286,0.050752,0.203413
[8] dist. T,0.05989985714285714,0.00019964061447619059,0.045679,0.087271
[9] dist. T,0.090542,,0.090542,0.090542
